ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0112.01,0112.01 - Winnipeg,152.0,8.0,71.0,73.0,0.0,0.05263157894736842,0.46710526315789475,0.48026315789473684,0.0,,,,,,,,,,,86000.0,,,
0112.02,0112.02 - Winnipeg,360.0,5.0,156.0,192.0,7.0,0.013888888888888888,0.43333333333333335,0.5333333333333333,0.019444444444444445,,878.0,,,939.0,,,,,,80000.0,11268.0,14.085,Lower relative burden
0113.00,0113.00 - Winnipeg,220.0,16.0,116.0,72.0,16.0,0.07272727272727272,0.5272727272727272,0.32727272727272727,0.07272727272727272,,1011.0,1275.0,,1109.0,,0.0,,,0.7,72500.0,13308.0,18.355862068965518,Moderate relative burden
0114.00,0114.00 - Winnipeg,364.0,23.0,267.0,73.0,1.0,0.06318681318681318,0.7335164835164835,0.20054945054945056,0.0027472527472527475,,890.0,,,963.0,,,,,,63200.0,11556.0,18.28481012658228,Moderate relative burden
0115.00,0115.00 - Winnipeg,201.0,23.0,91.0,86.0,1.0,0.11442786069651742,0.4527363184079602,0.42786069651741293,0.004975124378109453,,874.0,1107.0,,964.0,,0.0,0.0,,0.0,93000.0,11568.0,12.438709677419354,Lower relative burden
0116.00,0116.00 - Winnipeg,,75.0,618.0,358.0,16.0,,,,,913.0,1006.0,1333.0,,1124.0,0.0,,0.0,,0.5,52800.0,13488.0,25.545454545454543,Highest relative burden
0117.00,0117.00 - Winnipeg,342.0,23.0,201.0,103.0,15.0,0.06725146198830409,0.5877192982456141,0.30116959064327486,0.043859649122807015,,1065.0,1432.0,,,,0.0,,,,69000.0,,,
0120.01,0120.01 - Winnipeg,86.0,0.0,33.0,43.0,10.0,0.0,0.38372093023255816,0.5,0.11627906976744186,,,,,,,,,,,95000.0,,,
0120.03,0120.03 - Winnipeg,270.0,0.0,159.0,105.0,6.0,0.0,0.5888888888888889,0.3888888888888889,0.022222222222222223,,,,,,,,,,,72500.0,,,
0120.04,0120.04 - Winnipeg,,,,,,,,,,,,,,,,,,,,91000.0,,,
0120.05,0120.05 - Winnipeg,30.0,5.0,0.0,25.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,,,,,,,,,,,136000.0,,,
0121.00,0121.00 - Winnipeg,47.0,0.0,19.0,28.0,0.0,0.0,0.40425531914893614,0.5957446808510638,0.0,,,1190.0,,1051.0,,,,,4.3,87000.0,12612.0,14.496551724137932,Lower relative burden
0122.01,0122.01 - Winnipeg,45.0,1.0,22.0,18.0,4.0,0.022222222222222223,0.4888888888888889,0.4,0.08888888888888889,,,,,,,,,,,80000.0,,,
0122.02,0122.02 - Winnipeg,72.0,0.0,18.0,36.0,18.0,0.0,0.25,0.5,0.25,,,,,,,,,,,93000.0,,,
0123.00,0123.00 - Winnipeg,149.0,1.0,51.0,97.0,0.0,0.006711409395973154,0.3422818791946309,0.6510067114093959,0.0,,,,,,,,0.0,,0.0,78500.0,,,
0130.01,0130.01 - Winnipeg,283.0,3.0,150.0,130.0,0.0,0.01060070671378092,0.5300353356890459,0.45936395759717313,0.0,,1010.0,1121.0,,1042.0,,1.9,0.0,,1.3,76000.0,12504.0,16.45263157894737,Moderate relative burden
